account_id,account_type,entity_id,community_id,meter_status,phone
BIZ-001,commercial,BIZ-001,oloika,metered,+254714914993
BIZ-002,commercial,BIZ-002,oloika,metered,+254758637947
BIZ-003,commercial,BIZ-003,oloika,metered,+254760172389
BIZ-004,commercial,BIZ-004,oloika,metered,+254767382135
BIZ-005,commercial,BIZ-005,oloika,metered,+254774272628
BIZ-006,commercial,BIZ-006,oloika,metered,+254739417806
BIZ-007,commercial,BIZ-007,oloika,metered,+254739138710
BIZ-008,commercial,BIZ-008,oloika,metered,+254763224555
BIZ-009,commercial,BIZ-009,oloika,sub_metered,+254709045449
BIZ-010,commercial,BIZ-010,oloika,metered,+254726916922
HH-0007,household,HH-0007,oloika,metered,+254719081268
HH-0010,household,HH-0010,oloika,metered,+254723388050
HH-0018,household,HH-0018,oloika,metered,+254766193758
HH-0020,household,HH-0020,oloika,metered,+254724376965
HH-0031,household,HH-0031,oloika,metered,+254726637596
HH-0034,household,HH-0034,oloika,metered,+254762716735
HH-0047,household,HH-0047,oloika,metered,+254718055111
HH-0063,household,HH-0063,oloika,sub_metered,+254755597693
HH-0067,household,HH-0067,oloika,sub_metered,+254749823507
HH-0071,household,HH-0071,oloika,metered,+254710513539
HH-0076,household,HH-0076,oloika,metered,+254728698940
HH-0084,household,HH-0084,oloika,metered,+254766872570
HH-0087,household,HH-0087,oloika,metered,+254773357444
HH-0088,household,HH-0088,oloika,sub_metered,+254707964105
HH-0120,household,HH-0120,oloika,metered,+254733053408
HH-0125,household,HH-0125,oloika,metered,+254706266113
HH-0131,household,HH-0131,oloika,metered,+254709301097
HH-0133,household,HH-0133,oloika,metered,+254791665395
HH-0140,household,HH-0140,oloika,metered,+254704182938
HH-0158,household,HH-0158,oloika,metered,+254748788286
HH-0163,household,HH-0163,oloika,sub_metered,+254712587734
HH-0165,household,HH-0165,oloika,metered,+254703428349
HH-0179,household,HH-0179,oloika,metered,+254780819752
HH-0187,household,HH-0187,oloika,metered,+254767446694
HH-0188,household,HH-0188,oloika,metered,+254791774299
HH-0201,household,HH-0201,oloika,metered,+254747589957
HH-0205,household,HH-0205,oloika,metered,+254714979268
HH-0207,household,HH-0207,oloika,metered,+254731489461
HH-0216,household,HH-0216,oloika,metered,+254703546632
HH-0229,household,HH-0229,oloika,metered,+254722551996
HH-0254,household,HH-0254,oloika,metered,+254774453406
HH-0257,household,HH-0257,oloika,metered,+254710497631
HH-0262,household,HH-0262,oloika,metered,+254711366163
HH-0265,household,HH-0265,oloika,metered,+254798617024
HH-0274,household,HH-0274,oloika,metered,+254740356729
HH-0275,household,HH-0275,oloika,metered,+254706938271
HH-0279,household,HH-0279,oloika,metered,+254746527148
HH-0281,household,HH-0281,oloika,sub_metered,+254765831393
HH-0282,household,HH-0282,oloika,metered,+254756895224
HH-0284,household,HH-0284,oloika,metered,+254740049457
HH-0286,household,HH-0286,oloika,metered,+254704392813
HH-0289,household,HH-0289,oloika,sub_metered,+254721139936
HH-0303,household,HH-0303,oloika,metered,+254711499215
HH-0308,household,HH-0308,oloika,metered,+254774458312
HH-0323,household,HH-0323,oloika,metered,+254725623862
HH-0339,household,HH-0339,oloika,sub_metered,+254794966411
HH-0347,household,HH-0347,oloika,metered,+254743942344
HH-0370,household,HH-0370,oloika,metered,+254779949606
HH-0374,household,HH-0374,oloika,metered,+254798883633
HH-0377,household,HH-0377,oloika,metered,+254767916786
HH-0381,household,HH-0381,oloika,metered,+254734330060
HH-0382,household,HH-0382,oloika,metered,+254720460471
HH-0403,household,HH-0403,oloika,metered,+254778671786
HH-0406,household,HH-0406,oloika,metered,+254714903671
HH-0413,household,HH-0413,oloika,metered,+254710569585
HH-0416,household,HH-0416,oloika,sub_metered,+254720442837
HH-0421,household,HH-0421,oloika,metered,+254777029770
HH-0428,household,HH-0428,oloika,metered,+254726398997
HH-0433,household,HH-0433,oloika,metered,+254735213261
HH-0451,household,HH-0451,oloika,metered,+254797208861
HH-0457,household,HH-0457,oloika,metered,+254708469646
HH-0467,household,HH-0467,oloika,sub_metered,+254742885662
HH-0469,household,HH-0469,oloika,sub_metered,+254744830300
HH-0473,household,HH-0473,oloika,sub_metered,+254769305568
HH-0480,household,HH-0480,oloika,metered,+254742252157
HH-0485,household,HH-0485,oloika,metered,+254718774381
HH-0488,household,HH-0488,oloika,metered,+254756660969
HH-0497,household,HH-0497,oloika,metered,+254773866309
HH-0527,household,HH-0527,oloika,metered,+254786620581
HH-0554,household,HH-0554,oloika,metered,+254756216001
HH-0560,household,HH-0560,oloika,metered,+254726917417
HH-0563,household,HH-0563,oloika,metered,+254722183535
HH-0564,household,HH-0564,oloika,metered,+254777034763
HH-0570,household,HH-0570,oloika,metered,+254706735038
